Tag	Latency Normalized	Power
585	0.8698866973	109.54401
586	0.8706673371	109.441129
587	0.8725658005	109.426027
588	0.8743271961	109.412706
589	1.0567826955	107.080966
590	1.0546534606	106.991737
591	1.0510998775	106.950697
592	1.047458695	106.898364
593	1.0430738657	106.833451
594	1.0323645868	106.670464
595	1.0268986693	106.548804
596	1.0241394359	106.436852
597	1.0203587505	106.345599
598	1.0176440396	106.273717
599	1.0156573741	106.169452
600	1.0163682292	106.10927
601	1.0170837006	106.102454
602	1.0104511808	105.94386
603	1.0087619381	105.854785
604	1.0094303932	105.787505
605	1.0075529105	105.710599
606	0.9996010342	105.418484
607	0.9972012715	105.185697
608	0.9974488583	105.065473
609	0.9941346058	104.786037
610	0.9839950741	104.247734
611	0.980180265	103.941952
612	0.9754577274	103.695307
613	1.1575808547	99.931694
614	1.1564416426	99.903451
615	1.1559851153	99.882203
616	1.1550529065	99.854145
617	1.1537514131	99.848846
618	1.1550868726	99.849743
619	1.1552563998	99.872943
620	1.1555199356	99.898528
621	1.1556347765	99.9161
622	1.1557710683	99.922787
623	1.1568437696	99.960502
624	1.1598629989	99.958385
625	1.1619086829	99.986097
626	1.1653465556	100.016921
627	1.1695326796	100.009741
628	1.1721276256	100.037136
629	1.1744135224	100.074608
630	1.1764570936	100.12972
631	1.1781367855	100.198778
632	1.1789064748	100.260259
633	1.1830465875	100.368275
634	1.1841031196	100.448792
635	1.1863128561	100.514629
636	1.1892662772	100.603119
637	1.1912571257	100.657774
638	1.1938074224	100.705837
639	1.1973227862	100.729176
640	1.2009976087	100.76593
641	1.2039557169	100.763238
642	1.207254756	100.743788
643	1.2095343968	100.756137
644	1.1871931539	100.747135
645	1.1855455325	100.680582
646	1.1815379962	100.662905
647	1.1804316888	100.599459
648	1.1736085367	100.517462
649	1.1617316869	100.389914
650	1.1597613269	100.320882
651	1.1556087906	100.289326
652	1.156378623	100.253272
653	1.1733891189	100.369346
654	1.1755732916	100.309762
655	1.1765681742	100.289019
656	1.1823875686	100.322257
657	1.1853321078	100.333436
658	1.1872823656	100.348978
659	1.187465412	100.368322
660	1.1904347378	100.39244
661	1.185474968	100.349967
662	1.1829104921	100.328882
663	1.1788625234	100.276875
664	1.1790154121	100.30506
665	1.1786917867	100.307493
666	1.1785601639	100.310267
667	1.1828994729	100.292757
668	1.1830452462	100.286799
669	1.1848316665	100.288439
670	1.1835392182	100.233558
671	1.1787144214	100.137078
672	1.1776811752	100.042303
673	1.1761148711	99.927081
674	1.2018831105	99.865589
675	1.2015235318	99.80082
676	1.2072938052	99.745634
677	1.2135474368	99.724775
678	1.210214452	99.704366
679	1.208502723	99.732003
680	1.2100628219	99.741637
681	1.2084946905	99.737397
682	1.2092342569	99.746707
683	1.207314515	99.709555
684	1.2002353662	99.64075
685	1.1993823181	99.576648
686	1.1989230674	99.501885
687	1.2303965153	99.560647
688	1.2301300678	99.543859
689	1.0421110112	100.088835
