Time	EXEC_CV	DRAM_CV
397	0.3985549357	0.2522294899
398	0.243222982	0.1851181525
399	0.1232566637	0.1247542684
400	0.4196952604	0.2608639429
401	0.4752535116	0.2550912486
402	0.6722931965	0.2727581918
403	1.0209922116	0.3271496733
404	1.0975942231	0.3208279578
405	1.5039800216	0.3447597989
406	1.303326667	0.21178702
407	1.4072353435	0.2084456182
408	1.0347921226	0.4040538392
409	0.7738392438	0.3398444733
410	0.7131688884	0.3309164764
411	0.6868448974	0.390632761
412	0.7374761695	0.4479091037
413	0.5954737545	0.3037179136
414	0.5867717805	0.3103113373
415	0.6391078071	0.3260211132
416	0.9165712659	0.3055544688
417	1.2605230987	0.2662373491
418	1.3091975667	0.2054873991
419	0.3191084493	0.1223401123
420	0.3099144081	0.1214719199
421	0.3093581732	0.13604014
422	0.3172433349	0.121997907
423	1.218704706	0.0856744193
424	0.9908386582	0.1151827475
425	0.7900359718	0.3166928147
426	0.542966966	0.3206943521
427	0.2205333047	0.2639457056
428	0.1377356444	0.1784679018
429	0.0321262151	0.0008539937
430	0.021721703	0.001323321
431	0.0175894608	0.0010807482
432	0.1895554679	0.0925896472
433	0.7743655146	0.2440429195
434	0.8217506286	0.3098479516
435	0.6673471415	0.3211535166
436	0.4787178285	0.2126065437
437	0.1426886173	0.0083483006
438	0.1133116654	0.005018072
439	0.4548961712	0.0331353411
440	0.7597124401	0.0327813218
441	0.9408092557	0.1110125455
442	0.9830477354	0.2712895155
443	0.6370568421	0.262202847
444	0.557510882	0.2270429535
445	0.2344329136	0.1374276011
446	0.0642979935	0.0574720363
447	0.0653047836	0.0587908595
448	0.0079788343	0.0032834983
449	0.0051825286	0.0037417578
450	0.1294371946	0.0717130921
451	0.5521959931	0.2434295222
452	0.7562729716	0.2993113092
453	0.7569374374	0.2786619266
454	0.6938174421	0.2001594896
455	0.763045625	0.1812877716
456	0.5013421397	0.1522088469
457	0.2834069482	0.0790365925
458	0.2439418243	0.0706437558
459	0.2252970773	0.065089837
460	0.2941112433	0.1032004867
461	0.1770033204	0.0980896629
462	0.1926153793	0.1074895395
463	0.3216179266	0.1224061735
464	0.6035460457	0.1597694011
465	0.8845787547	0.181806059
466	1.0777385114	0.1081137607
467	1.115212066	0.0782367233
468	0.1247613052	0.0165774164
469	1.9383459169	0.0259234248
470	1.3490395925	0.0542332046
471	0.9350311088	0.1277319845
472	0.6034596838	0.1692742196
473	0.2170288784	0.1721844532
474	0.2784609328	0.2435413057
475	0.3580765211	0.2434733871
476	0.2899738743	0.2063393737
477	0.27533023	0.1446277437
478	0.0803748247	0.1395124301
479	0.3899980067	0.2338034651
480	0.6038343626	0.289626748
481	0.7127319708	0.3144119463
482	0.6054210635	0.1933124836
483	0.4939737483	0.3189890064
484	0.4115672656	0.3591049487
485	0.4579144465	0.385732105
486	0.4024177143	0.3249096236
487	0.5255954909	0.2537811655
488	0.785612968	0.3309193792
489	1.013934537	0.2672319112
490	1.2526527527	0.2414858893
491	1.1312283657	0.1733702115
492	0.4762184534	0.1306438101
493	0.4948289089	0.1297505718
494	0.2880090943	0.138952959
495	0.2647598929	0.1193174963
496	1.2520566575	0.1060410605
497	1.0146734064	0.1892913251
498	0.7877241659	0.3034419962
499	0.5316858172	0.2939220791
500	0.19307943	0.2180592988
501	0.1030346018	0.1307723572
502	0.0271630004	0.0067119635
