 
Frame	VaioStaticLatency	VaioPOETLatency	ODROIDStaticLatency	ODROIDPOETLatency	SmoothedODroidStatic	SmoothedODROIDPOET	   
157	1.37894	1.269755	0.818026	0.918991	1.222455	1.033742	   
158	1.379279	1.260665	0.822859	0.918682	1.215276	1.03409	   
159	1.377916	1.246068	0.822636	0.924279	1.215604	1.027828	   
160	1.376553	1.226308	0.834654	0.922912	1.198102	1.029351	   
161	1.373286	1.202649	0.841152	0.925106	1.188846	1.026909	   
162	1.369508	1.17516	0.851475	0.941771	1.174433	1.008738	   
163	1.366599	1.144067	0.854678	0.947568	1.170032	1.002567	   
164	1.361966	1.114068	0.855424	0.943784	1.16901	1.006586	   
165	1.355754	1.08594	0.85422	0.934262	1.170658	1.016846	   
166	1.351346	1.059481	0.848315	0.94831	1.178807	1.001782	   
167	1.341718	1.034503	0.850382	0.957419	1.175942	0.992251	   
168	1.348989	1.010788	0.851681	0.954215	1.174149	0.995583	   
169	1.360948	0.990468	0.84602	0.948634	1.182005	1.00144	   
170	1.355301	0.973434	0.85053	0.941171	1.175738	1.009381	   
171	1.352474	0.960316	0.853946	0.943396	1.171035	1.007001	   
172	1.356135	0.950797	0.855675	0.939265	1.168668	1.011429	   
173	1.354133	0.944765	0.854172	0.946534	1.170725	1.003662	   
174	1.351053	0.942406	0.84107	0.945275	1.188962	1.004999	   
175	1.344939	0.943694	0.822365	0.947472	1.216006	1.002668	   
176	1.340308	0.945858	0.806711	0.932237	1.239601	1.019054	   
177	1.342024	0.948348	0.807729	0.911803	1.238039	1.041892	   
178	1.344701	0.9513	0.813362	0.909584	1.229466	1.044434	   
179	1.348052	0.954761	0.814312	0.905406	1.228031	1.049253	   
180	1.349708	0.958149	0.801234	0.902962	1.248075	1.052093	   
181	1.352773	0.961429	0.79223	0.897728	1.26226	1.058227	   
182	1.356098	0.964683	0.78329	0.888815	1.276667	1.068839	   
183	1.359347	0.967835	0.778259	0.896979	1.284919	1.05911	   
184	1.364251	0.970828	0.78544	0.915421	1.273171	1.037774	   
185	1.362129	0.973264	0.78852	0.928013	1.268198	1.023692	   
186	1.367458	0.974989	0.788301	0.928529	1.268551	1.023123	   
187	1.378072	0.976142	0.780418	0.940168	1.281365	1.010458	   
188	1.371382	0.976538	0.782783	0.95641	1.277493	0.993298	   
189	1.36353	0.976059	0.778523	0.954594	1.284483	0.995187	   
190	1.372297	0.97451	0.784061	0.971647	1.275411	0.977721	   
191	1.377192	0.971926	0.786998	0.988869	1.27065	0.960693	   
192	1.375503	0.968853	0.786466	0.990353	1.271511	0.959254	   
193	1.375299	0.964716	0.784178	0.991582	1.275221	0.958065	   
194	1.373969	0.959694	0.785567	1.001644	1.272965	0.948441	   
195	1.371629	0.954098	0.801244	1.007024	1.248059	0.943374	   
196	1.368107	0.948292	0.812185	1.017991	1.231247	0.93321	   
197	1.360337	0.942337	0.82016	1.036809	1.219275	0.916273	   
198	1.351862	0.936113	0.816925	1.035154	1.224102	0.917737	   
199	1.361195	0.929965	0.822905	1.028256	1.215206	0.923895	   
200	1.353277	0.924049	0.836423	1.02864	1.195568	0.92355	   
201	1.344088	0.918687	0.847888	1.034088	1.179401	0.918684	   
202	1.334588	0.914127	0.84803	1.051106	1.179204	0.90381	   
203	1.333162	0.910331	0.849028	1.053166	1.177817	0.902042	   
204	1.326947	0.907464	0.843825	1.043346	1.185081	0.910532	   
205	1.321157	0.905813	0.833622	1.049078	1.199585	0.905557	   
206	1.31446	0.905408	0.834911	1.058409	1.197732	0.897574	   
207	1.30588	0.90605	0.832025	1.054375	1.201887	0.901008	   
208	1.299616	0.907302	0.837943	1.048872	1.193399	0.905735	   
209	1.293838	0.910332	0.837997	1.033262	1.193322	0.919419	   
210	1.298937	0.915573	0.832798	1.009319	1.200771	0.941229	   
211	1.296633	0.92164	0.834688	0.981274	1.198053	0.96813	   
212	1.296871	0.928432	0.834705	0.958322	1.198028	0.991316	   
213	1.299603	0.935849	0.837185	0.939093	1.19448	1.011615	   
214	1.300997	0.94371	0.844744	0.900282	1.183791	1.055225	   
215	1.30318	0.95195	0.834104	0.900241	1.198891	1.055273	   
216	1.305419	0.960188	0.82266	0.901965	1.21557	1.053256	   
217	1.312575	0.968431	0.806972	0.901057	1.2392	1.054317	   
218	1.32028	0.976733	0.800263	0.908115	1.249589	1.046123	   
219	1.311883	0.984734	0.78956	0.916804	1.266529	1.036208	   
220	1.319173	0.992788	0.777047	0.920159	1.286924	1.03243	   
221	1.327925	0.999111	0.767159	0.917412	1.303511	1.035522	   
222	1.337462	1.003397	0.772623	0.912731	1.294293	1.040833	   
223	1.339939	1.00673	0.765822	0.907199	1.305786	1.04718	   
224	1.345793	1.009041	0.760309	0.904228	1.315255	1.05062	   
225	1.350887	1.010238	0.758157	0.90535	1.318989	1.049318	   
226	1.35644	1.010739	0.760742	0.908971	1.314506	1.045138	   
227	1.362659	1.010336	0.768364	0.913231	1.301467	1.040263	   
228	1.367945	1.009575	0.769315	0.916224	1.299857	1.036865	   
229	1.371465	1.006844	0.777121	0.938343	1.286801	1.012423	   
230	1.365348	1.00133	0.782312	0.956662	1.278263	0.993036	   
231	1.36604	0.994702	0.787035	0.97951	1.270592	0.969872	   
232	1.365111	0.988336	0.774951	1.014429	1.290404	0.936487	   
233	1.361074	0.981651	0.76753	1.039032	1.302882	0.914312	   
234	1.357075	0.974559	0.769629	1.075471	1.299328	0.883334	   
235	1.352296	0.967588	0.772009	1.072104	1.295322	0.886108	   
236	1.3464	0.957886	0.775582	1.077126	1.289354	0.881976	   
237	1.33954	0.948251	0.781334	1.073815	1.279862	0.884696	   
238	1.332684	0.938405	0.788753	1.068694	1.267823	0.888935	   
239	1.333584	0.928691	0.791113	1.052699	1.264042	0.902443	   
240	1.323769	0.91899	0.801573	1.040656	1.247546	0.912886	   
241	1.312322	0.910822	0.809551	1.041957	1.235252	0.911746	   
242	1.302949	0.904704	0.810081	1.042713	1.234445	0.911085	   
243	1.292991	0.899522	0.810772	1.051315	1.233393	0.90363	   
244	1.286816	0.894041	0.80993	1.064191	1.234674	0.892697	   
245	1.282972	0.889057	0.810754	1.066168	1.23342	0.891042	   
246	1.28086	0.884125	0.803027	1.062924	1.245288	0.893761	   
247	1.279263	0.879854	0.799279	1.05861	1.251127	0.897403	   
248	1.27736	0.87816	0.789023	1.048316	1.267389	0.906215	   
249	1.275657	0.877214	0.780572	1.007459	1.281112	0.942967	 





